"Kod";"Nazwa";"ogółem;ogółem;2024;[osoba]";
0605065;"Modliborzyce - obszar wiejski (5)";5215;
0605072;"Potok Wielki (2)";4397;
0606000;"Powiat krasnostawski";58307;
0606011;"Krasnystaw (1)";17080;
0606022;"Fajsławice (2)";4409;
0606032;"Gorzków (2)";3146;
0606043;"Izbica (3)";7593;
0606044;"Izbica - miasto (4)";1660;
0606045;"Izbica - obszar wiejski (5)";5933;
0606052;"Krasnystaw (2)";8059;
0606062;"Kraśniczyn (2)";3382;
0606072;"Łopiennik Górny (2)";3513;
0606092;"Rudnik (2)";2672;
0606102;"Siennica Różana (2)";3711;
0606112;"Żółkiewka (2)";4742;
0607000;"Powiat kraśnicki";88198;
0607011;"Kraśnik (1)";30842;
0607023;"Annopol (3)";7915;
0607024;"Annopol - miasto (4)";2279;
0607025;"Annopol - obszar wiejski (5)";5636;
0607032;"Dzierzkowice (2)";5198;
0607042;"Gościeradów (2)";6722;
0607052;"Kraśnik (2)";6950;
0607062;"Szastarka (2)";5344;
0607072;"Trzydnik Duży (2)";5856;
0607083;"Urzędów (3)";8105;
0607084;"Urzędów - miasto (4)";1703;
0607085;"Urzędów - obszar wiejski (5)";6402;
0607092;"Wilkołaz (2)";5272;
0607102;"Zakrzówek (2)";5994;
0608000;"Powiat lubartowski";83385;
0608011;"Lubartów (1)";19566;
0608022;"Abramów (2)";3795;
0608032;"Firlej (2)";5601;
0608042;"Jeziorzany (2)";2432;
0608053;"Kamionka (3)";6532;
0608054;"Kamionka - miasto (4)";1727;
0608055;"Kamionka - obszar wiejski (5)";4805;
0608063;"Kock (3)";5638;
0608064;"Kock - miasto (4)";2843;
0608065;"Kock - obszar wiejski (5)";2795;
0608072;"Lubartów (2)";12129;
0608082;"Michów (2)";5328;
0608092;"Niedźwiada (2)";6155;
0608103;"Ostrów Lubelski (3)";4858;
0608104;"Ostrów Lubelski - miasto (4)";1901;
0608105;"Ostrów Lubelski - obszar wiejski (5)";2957;
0608112;"Ostrówek (2)";3617;
0608122;"Serniki (2)";4769;
0608132;"Uścimów (2)";2965;
0609000;"Powiat lubelski";165359;
0609013;"Bełżyce (3)";12547;
0609014;"Bełżyce - miasto (4)";5802;
0609015;"Bełżyce - obszar wiejski (5)";6745;
0609022;"Borzechów (2)";3722;
0609033;"Bychawa (3)";10724;
0609034;"Bychawa - miasto (4)";4414;
0609035;"Bychawa - obszar wiejski (5)";6310;
0609042;"Garbów (2)";8950;
0609052;"Głusk (2)";15344;
0609062;"Jabłonna (2)";8336;
0609072;"Jastków (2)";15645;
0609082;"Konopnica (2)";16098;
0609092;"Krzczonów (2)";4041;
0609102;"Niedrzwica Duża (2)";12149;
0609112;"Niemce (2)";22338;
0609122;"Strzyżewice (2)";8178;
0609132;"Wojciechów (2)";6000;
0609142;"Wólka (2)";14674;
0609152;"Wysokie (2)";3988;
0609162;"Zakrzew (2)";2625;
0610000;"Powiat łęczyński";55531;
0610012;"Cyców (2)";7699;
0610022;"Ludwin (2)";5610;
0610033;"Łęczna (3)";22148;
0610034;"Łęczna - miasto (4)";17378;
0610035;"Łęczna - obszar wiejski (5)";4770;
0610042;"Milejów (2)";8544;
0610052;"Puchaczów (2)";5558;
0610062;"Spiczyn (2)";5972;
0611000;"Powiat łukowski";100230;
0611011;"Łuków (1)";26890;
0611021;"Stoczek Łukowski (1)";2325;
0611032;"Adamów (2)";5063;
0611042;"Krzywda (2)";9681;
0611052;"Łuków (2)";18569;
0611062;"Serokomla (2)";3639;
0611072;"Stanin (2)";9109;
0611082;"Stoczek Łukowski (2)";7126;
0611092;"Trzebieszów (2)";7076;
0611102;"Wojcieszków (2)";6439;
0611112;"Wola Mysłowska (2)";4313;
0612000;"Powiat opolski";55078;
0612012;"Chodel (2)";6252;
0612023;"Józefów nad Wisłą (3)";5974;
0612024;"Józefów nad Wisłą - miasto (4)";775;
0612025;"Józefów nad Wisłą - obszar wiejski (5)";5199;
0612032;"Karczmiska (2)";5233;
0612042;"Łaziska (2)";4499;
0612053;"Opole Lubelskie (3)";16058;
0612054;"Opole Lubelskie - miasto (4)";7756;
0612055;"Opole Lubelskie - obszar wiejski (5)";8302;
0612063;"Poniatowa (3)";12967;
0612064;"Poniatowa - miasto (4)";8123;
0612065;"Poniatowa - obszar wiejski (5)";4844;
0612072;"Wilków (2)";4095;
0613000;"Powiat parczewski";31832;
0613012;"Dębowa Kłoda (2)";3557;
0613022;"Jabłoń (2)";3465;
0613032;"Milanów (2)";3324;
0613043;"Parczew (3)";13572;
0613044;"Parczew - miasto (4)";10080;
0613045;"Parczew - obszar wiejski (5)";3492;
0613052;"Podedwórze (2)";1469;
0613062;"Siemień (2)";4195;
0613072;"Sosnowica (2)";2250;
0614000;"Powiat puławski";106181;
0614011;"Puławy (1)";43597;
0614022;"Baranów (2)";3479;
0614032;"Janowiec (2)";3543;
0614043;"Kazimierz Dolny (3)";6205;
0614044;"Kazimierz Dolny - miasto (4)";3192;
0614045;"Kazimierz Dolny - obszar wiejski (5)";3013;
0614052;"Końskowola (2)";8298;
0614062;"Kurów (2)";7353;
0614072;"Markuszów (2)";2851;
0614083;"Nałęczów (3)";8506;
0614084;"Nałęczów - miasto (4)";3581;
0614085;"Nałęczów - obszar wiejski (5)";4925;
0614092;"Puławy (2)";12217;
0614102;"Wąwolnica (2)";4073;
0614112;"Żyrzyn (2)";6059;
0615000;"Powiat radzyński";54531;
0615011;"Radzyń Podlaski (1)";14049;
0615022;"Borki (2)";5715;
0615033;"Czemierniki (3)";4031;
0615034;"Czemierniki - miasto (4)";1295;
0615035;"Czemierniki - obszar wiejski (5)";2736;
0615042;"Kąkolewnica (2)";7472;
0615052;"Komarówka Podlaska (2)";3765;
0615062;"Radzyń Podlaski (2)";7909;
0615072;"Ulan-Majorat (2)";5481;
0615082;"Wohyń (2)";6109;
0616000;"Powiat rycki";50898;
0616011;"Dęblin (1)";13842;
0616022;"Kłoczew (2)";6749;
0616032;"Nowodwór (2)";3873;
0616043;"Ryki (3)";18966;
0616044;"Ryki - miasto (4)";8877;
0616045;"Ryki - obszar wiejski (5)";10089;
0616052;"Stężyca (2)";4692;
0616062;"Ułęż (2)";2776;
0617000;"Powiat świdnicki";68991;
0617011;"Świdnik (1)";36468;
0617022;"Mełgiew (2)";10839;
0617033;"Piaski (3)";10127;
0617034;"Piaski - miasto (4)";2412;
0617035;"Piaski - obszar wiejski (5)";7715;
0617042;"Rybczewice (2)";3174;
0617052;"Trawniki (2)";8383;
0618000;"Powiat tomaszowski";76155;
0618011;"Tomaszów Lubelski (1)";17598;
0618022;"Bełżec (2)";3078;
0618032;"Jarczów (2)";3129;
0618042;"Krynice (2)";2952;
0618053;"Lubycza Królewska (3)";5441;
0618054;"Lubycza Królewska - miasto (4)";2092;
0618055;"Lubycza Królewska - obszar wiejski (5)";3349;
0618063;"Łaszczów (3)";5404;
0618064;"Łaszczów - miasto (4)";1937;
0618065;"Łaszczów - obszar wiejski (5)";3467;
0618072;"Rachanie (2)";4540;
0618082;"Susiec (2)";6814;
0618092;"Tarnawatka (2)";3740;
0618102;"Telatyn (2)";3431;
0618112;"Tomaszów Lubelski (2)";11082;
0618123;"Tyszowce (3)";5042;
0618124;"Tyszowce - miasto (4)";1815;
0618125;"Tyszowce - obszar wiejski (5)";3227;
0618132;"Ulhówek (2)";3904;
0619000;"Powiat włodawski";34989;
0619011;"Włodawa (1)";11934;
0619022;"Hanna (2)";2428;
0619032;"Hańsk (2)";3375;
0619042;"Stary Brus (2)";1777;
0619052;"Urszulin (2)";4045;
0619062;"Włodawa (2)";5696;
0619072;"Wola Uhruska (2)";3564;
0619082;"Wyryki (2)";2170;
0620000;"Powiat zamojski";100017;
0620012;"Adamów (2)";4365;
0620022;"Grabowiec (2)";3530;
0620032;"Komarów-Osada (2)";4392;
0620043;"Krasnobród (3)";6621;
0620044;"Krasnobród - miasto (4)";2937;
0620045;"Krasnobród - obszar wiejski (5)";3684;
0620052;"Łabunie (2)";5844;
0620062;"Miączyn (2)";4912;
0620072;"Nielisz (2)";5038;
0620082;"Radecznica (2)";4980;
0620092;"Sitno (2)";6510;
0620102;"Skierbieszów (2)";4643;
0620112;"Stary Zamość (2)";4772;
0620122;"Sułów (2)";4003;
0620133;"Szczebrzeszyn (3)";10406;
0620134;"Szczebrzeszyn - miasto (4)";4676;
0620135;"Szczebrzeszyn - obszar wiejski (5)";5730;
0620142;"Zamość (2)";23997;
0620153;"Zwierzyniec (3)";6004;
0620154;"Zwierzyniec - miasto (4)";2737;
0620155;"Zwierzyniec - obszar wiejski (5)";3267;
0661000;"Powiat m. Biała Podlaska";53888;
0661011;"Biała Podlaska (1)";53888;
0662000;"Powiat m. Chełm";56434;
0662011;"Chełm (1)";56434;
0663000;"Powiat m. Lublin";328305;
0663011;"Lublin (1)";328305;
0664000;"Powiat m. Zamość";57516;
0664011;"Zamość (1)";57516;
0800000;"LUBUSKIE";969819;
0801000;"Powiat gorzowski";74079;
0801011;"Kostrzyn nad Odrą (1)";17428;
0801022;"Bogdaniec (2)";7171;
0801032;"Deszczno (2)";11064;
0801042;"Kłodawa (2)";9451;
0801052;"Lubiszyn (2)";7194;
0801062;"Santok (2)";9707;
0801073;"Witnica (3)";12064;
0801074;"Witnica - miasto (4)";6364;
0801075;"Witnica - obszar wiejski (5)";5700;
0802000;"Powiat krośnieński";52187;
0802011;"Gubin (1)";15375;
0802022;"Bobrowice (2)";2998;
0802032;"Bytnica (2)";2260;
0802042;"Dąbie (2)";4937;
0802052;"Gubin (2)";7178;
0802063;"Krosno Odrzańskie (3)";16705;
0802064;"Krosno Odrzańskie - miasto (4)";10315;
0802065;"Krosno Odrzańskie - obszar wiejski (5)";6390;
0802072;"Maszewo (2)";2734;
0803000;"Powiat międzyrzecki";54439;
0803012;"Bledzew (2)";3852;
0803023;"Międzyrzecz (3)";23486;
0803024;"Międzyrzecz - miasto (4)";16593;
0803025;"Międzyrzecz - obszar wiejski (5)";6893;
0803032;"Przytoczna (2)";5266;
0803042;"Pszczew (2)";4178;
0803053;"Skwierzyna (3)";11433;
0803054;"Skwierzyna - miasto (4)";8987;
0803055;"Skwierzyna - obszar wiejski (5)";2446;
0803063;"Trzciel (3)";6224;
0803064;"Trzciel - miasto (4)";2215;
0803065;"Trzciel - obszar wiejski (5)";4009;
0804000;"Powiat nowosolski";81809;
0804011;"Nowa Sól (1)";35545;
0804023;"Bytom Odrzański (3)";5071;
0804024;"Bytom Odrzański - miasto (4)";3870;
0804025;"Bytom Odrzański - obszar wiejski (5)";1201;
0804032;"Kolsko (2)";3204;
0804043;"Kożuchów (3)";15162;
0804044;"Kożuchów - miasto (4)";8825;
0804045;"Kożuchów - obszar wiejski (5)";6337;
0804052;"Nowa Sól (2)";7433;
0804063;"Nowe Miasteczko (3)";4970;
0804064;"Nowe Miasteczko - miasto (4)";2599;
0804065;"Nowe Miasteczko - obszar wiejski (5)";2371;
0804073;"Otyń (3)";7129;
0804074;"Otyń - miasto (4)";1783;
0804075;"Otyń - obszar wiejski (5)";5346;
0804082;"Siedlisko (2)";3295;
0805000;"Powiat słubicki";45679;
0805013;"Cybinka (3)";6126;
0805014;"Cybinka - miasto (4)";2646;
0805015;"Cybinka - obszar wiejski (5)";3480;
0805022;"Górzyca (2)";4094;
0805033;"Ośno Lubuskie (3)";6112;
0805034;"Ośno Lubuskie - miasto (4)";3867;
0805035;"Ośno Lubuskie - obszar wiejski (5)";2245;
0805043;"Rzepin (3)";9384;
0805044;"Rzepin - miasto (4)";6348;
0805045;"Rzepin - obszar wiejski (5)";3036;
0805053;"Słubice (3)";19963;
0805054;"Słubice - miasto (4)";16090;
0805055;"Słubice - obszar wiejski (5)";3873;
0806000;"Powiat strzelecko-drezdenecki";46204;
0806013;"Dobiegniew (3)";6082;
0806014;"Dobiegniew - miasto (4)";2973;
0806015;"Dobiegniew - obszar wiejski (5)";3109;
0806023;"Drezdenko (3)";16157;
0806024;"Drezdenko - miasto (4)";9344;
0806025;"Drezdenko - obszar wiejski (5)";6813;
0806032;"Stare Kurowo (2)";3887;
0806043;"Strzelce Krajeńskie (3)";15947;
0806044;"Strzelce Krajeńskie - miasto (4)";9608;
0806045;"Strzelce Krajeńskie - obszar wiejski (5)";6339;
0806052;"Zwierzyn (2)";4131;
0807000;"Powiat sulęciński";33191;
0807012;"Krzeszyce (2)";4576;
0807023;"Lubniewice (3)";3004;
0807024;"Lubniewice - miasto (4)";1981;
0807025;"Lubniewice - obszar wiejski (5)";1023;
0807032;"Słońsk (2)";4599;
0807043;"Sulęcin (3)";14861;
0807044;"Sulęcin - miasto (4)";9607;
0807045;"Sulęcin - obszar wiejski (5)";5254;
0807053;"Torzym (3)";6151;
0807054;"Torzym - miasto (4)";2374;
0807055;"Torzym - obszar wiejski (5)";3777;
0808000;"Powiat świebodziński";53609;
0808012;"Lubrza (2)";3571;
0808022;"Łagów (2)";4689;
0808032;"Skąpe (2)";4835;
0808042;"Szczaniec (2)";3634;
0808053;"Świebodzin (3)";28871;
0808054;"Świebodzin - miasto (4)";20668;
0808055;"Świebodzin - obszar wiejski (5)";8203;
0808063;"Zbąszynek (3)";8009;
0808064;"Zbąszynek - miasto (4)";4842;
0808065;"Zbąszynek - obszar wiejski (5)";3167;
0809000;"Powiat zielonogórski";74754;
0809013;"Babimost (3)";6026;
0809014;"Babimost - miasto (4)";3790;
0809015;"Babimost - obszar wiejski (5)";2236;
0809022;"Bojadła (2)";3111;
0809033;"Czerwieńsk (3)";10161;
0809034;"Czerwieńsk - miasto (4)";3723;
0809035;"Czerwieńsk - obszar wiejski (5)";6438;
0809043;"Kargowa (3)";5899;
0809044;"Kargowa - miasto (4)";3817;
0809045;"Kargowa - obszar wiejski (5)";2082;
0809053;"Nowogród Bobrzański (3)";8876;
0809054;"Nowogród Bobrzański - miasto (4)";4675;
0809055;"Nowogród Bobrzański - obszar wiejski (5)";4201;
0809063;"Sulechów (3)";25875;
0809064;"Sulechów - miasto (4)";15330;
0809065;"Sulechów - obszar wiejski (5)";10545;
0809072;"Świdnica (2)";6903;
0809082;"Trzebiechów (2)";3095;
0809092;"Zabór (2)";4808;
0810000;"Powiat żagański";72933;
0810011;"Gozdnica (1)";2681;
0810021;"Żagań (1)";23136;
0810032;"Brzeźnica (2)";3425;
0810043;"Iłowa (3)";6303;
0810044;"Iłowa - miasto (4)";3547;
0810045;"Iłowa - obszar wiejski (5)";2756;
0810053;"Małomice (3)";5134;
0810054;"Małomice - miasto (4)";3396;
0810055;"Małomice - obszar wiejski (5)";1738;
0810062;"Niegosławice (2)";4238;
0810073;"Szprotawa (3)";18800;
0810074;"Szprotawa - miasto (4)";10363;
0810075;"Szprotawa - obszar wiejski (5)";8437;
0810082;"Wymiarki (2)";2053;
0810092;"Żagań (2)";7163;
0811000;"Powiat żarski";90364;
0811011;"Łęknica (1)";2195;
0811021;"Żary (1)";34389;
0811033;"Brody (3)";3099;
0811034;"Brody - miasto (4)";845;
0811035;"Brody - obszar wiejski (5)";2254;
0811043;"Jasień (3)";6637;
0811044;"Jasień - miasto (4)";3984;
0811045;"Jasień - obszar wiejski (5)";2653;
0811052;"Lipinki Łużyckie (2)";3229;
0811063;"Lubsko (3)";17052;
0811064;"Lubsko - miasto (4)";12697;
0811065;"Lubsko - obszar wiejski (5)";4355;
0811072;"Przewóz (2)";2998;
0811082;"Trzebiel (2)";5400;
0811092;"Tuplice (2)";2856;
0811102;"Żary (2)";12509;
0812000;"Powiat wschowski";37002;
0812013;"Sława (3)";12380;
0812014;"Sława - miasto (4)";4074;
0812015;"Sława - obszar wiejski (5)";8306;
0812023;"Szlichtyngowa (3)";4786;
0812024;"Szlichtyngowa - miasto (4)";1240;
0812025;"Szlichtyngowa - obszar wiejski (5)";3546;
0812033;"Wschowa (3)";19836;
0812034;"Wschowa - miasto (4)";12843;
0812035;"Wschowa - obszar wiejski (5)";6993;
0861000;"Powiat m. Gorzów Wielkopolski";114700;
0861011;"Gorzów Wielkopolski (1)";114700;
0862000;"Powiat m. Zielona Góra";138869;
0862011;"Zielona Góra (1)";138869;
1000000;"ŁÓDZKIE";2345924;
1001000;"Powiat bełchatowski";108003;
1001011;"Bełchatów (1)";51637;
1001022;"Bełchatów (2)";13296;
1001032;"Drużbice (2)";5242;
1001042;"Kleszczów (2)";6425;
1001052;"Kluki (2)";4298;
1001062;"Rusiec (2)";4749;
1001072;"Szczerców (2)";8116;
1001083;"Zelów (3)";14240;
1001084;"Zelów - miasto (4)";6930;
1001085;"Zelów - obszar wiejski (5)";7310;
1002000;"Powiat kutnowski";89709;
1002011;"Kutno (1)";40349;
1002022;"Bedlno (2)";4989;
1002033;"Dąbrowice (3)";1760;
1002034;"Dąbrowice - miasto (4)";947;
1002035;"Dąbrowice - obszar wiejski (5)";813;
1002043;"Krośniewice (3)";7613;
1002044;"Krośniewice - miasto (4)";3935;
1002045;"Krośniewice - obszar wiejski (5)";3678;
1002052;"Krzyżanów (2)";3984;
1002062;"Kutno (2)";8910;
1002072;"Łanięta (2)";2154;
1002082;"Nowe Ostrowy (2)";3173;
1002092;"Oporów (2)";2365;
1002102;"Strzelce (2)";3686;
1002113;"Żychlin (3)";10726;
1002114;"Żychlin - miasto (4)";7401;
1002115;"Żychlin - obszar wiejski (5)";3325;
1003000;"Powiat łaski";48498;
1003012;"Buczek (2)";5012;
1003023;"Łask (3)";26788;
1003024;"Łask - miasto (4)";15849;
1003025;"Łask - obszar wiejski (5)";10939;
1003032;"Sędziejowice (2)";6147;
1003042;"Widawa (2)";6779;
1003052;"Wodzierady (2)";3772;
1004000;"Powiat łęczycki";46137;
1004011;"Łęczyca (1)";12853;
1004022;"Daszyna (2)";3589;
1004032;"Góra Świętej Małgorzaty (2)";4197;
1004043;"Grabów (3)";5263;
1004044;"Grabów - miasto (4)";1008;
1004045;"Grabów - obszar wiejski (5)";4255;
1004052;"Łęczyca (2)";8143;
1004063;"Piątek (3)";5516;
1004064;"Piątek - miasto (4)";1541;
1004065;"Piątek - obszar wiejski (5)";3975;
1004072;"Świnice Warckie (2)";3606;
1004082;"Witonia (2)";2970;
1005000;"Powiat łowicki";73368;
1005011;"Łowicz (1)";25611;
1005022;"Bielawy (2)";4953;
1005032;"Chąśno (2)";2876;
1005042;"Domaniewice (2)";4533;
1005053;"Kiernozia (3)";3037;
1005054;"Kiernozia - miasto (4)";794;
1005055;"Kiernozia - obszar wiejski (5)";2243;
1005062;"Kocierzew Południowy (2)";3968;
1005072;"Łowicz (2)";7741;
1005082;"Łyszkowice (2)";6379;
1005092;"Nieborów (2)";9157;
1005102;"Zduny (2)";5113;
1006000;"Powiat łódzki wschodni";75149;
1006022;"Andrespol (2)";14838;
1006032;"Brójce (2)";7344;
1006073;"Koluszki (3)";22713;
1006074;"Koluszki - miasto (4)";11925;
1006075;"Koluszki - obszar wiejski (5)";10788;
1006082;"Nowosolna (2)";5811;
1006103;"Rzgów (3)";11563;
1006104;"Rzgów - miasto (4)";3453;
1006105;"Rzgów - obszar wiejski (5)";8110;
1006113;"Tuszyn (3)";12880;
1006114;"Tuszyn - miasto (4)";7135;
1006115;"Tuszyn - obszar wiejski (5)";5745;
1007000;"Powiat opoczyński";71234;
1007013;"Białaczów (3)";5453;
1007014;"Białaczów - miasto (4)";1098;
1007015;"Białaczów - obszar wiejski (5)";4355;
1007023;"Drzewica (3)";9685;
1007024;"Drzewica - miasto (4)";3462;
1007025;"Drzewica - obszar wiejski (5)";6223;
1007032;"Mniszków (2)";4691;
1007043;"Opoczno (3)";31403;
1007044;"Opoczno - miasto (4)";18677;
1007045;"Opoczno - obszar wiejski (5)";12726;
1007052;"Paradyż (2)";4150;
1007062;"Poświętne (2)";2874;
1007072;"Sławno (2)";7457;
1007083;"Żarnów (3)";5521;
1007084;"Żarnów - miasto (4)";1107;
1007085;"Żarnów - obszar wiejski (5)";4414;
1008000;"Powiat pabianicki";118704;
1008011;"Konstantynów Łódzki (1)";19276;
1008021;"Pabianice (1)";59910;
1008032;"Dłutów (2)";4988;
1008042;"Dobroń (2)";8123;
1008052;"Ksawerów (2)";7656;
1008063;"Lutomiersk (3)";9623;
1008064;"Lutomiersk - miasto (4)";1566;
1008065;"Lutomiersk - obszar wiejski (5)";8057;
1008072;"Pabianice (2)";9128;
1009000;"Powiat pajęczański";48086;
1009013;"Działoszyn (3)";11361;
1009014;"Działoszyn - miasto (4)";5154;
1009015;"Działoszyn - obszar wiejski (5)";6207;
1009022;"Kiełczygłów (2)";3741;
1009032;"Nowa Brzeźnica (2)";4272;
1009043;"Pajęczno (3)";10937;
1009044;"Pajęczno - miasto (4)";6281;
1009045;"Pajęczno - obszar wiejski (5)";4656;
1009052;"Rząśnia (2)";4876;
1009062;"Siemkowice (2)";4396;
1009072;"Strzelce Wielkie (2)";4121;
1009082;"Sulmierzyce (2)";4382;
1010000;"Powiat piotrkowski";89717;
1010012;"Aleksandrów (2)";4197;
1010022;"Czarnocin (2)";4026;
1010032;"Gorzkowice (2)";8126;
1010042;"Grabica (2)";6068;
1010052;"Łęki Szlacheckie (2)";3156;
1010062;"Moszczenica (2)";12493;
1010072;"Ręczno (2)";3297;
1010083;"Rozprza (3)";12172;
1010084;"Rozprza - miasto (4)";1623;
1010085;"Rozprza - obszar wiejski (5)";10549;
1010093;"Sulejów (3)";16515;
1010094;"Sulejów - miasto (4)";5876;
1010095;"Sulejów - obszar wiejski (5)";10639;
1010102;"Wola Krzysztoporska (2)";11873;
1010113;"Wolbórz (3)";7794;
1010114;"Wolbórz - miasto (4)";2237;
1010115;"Wolbórz - obszar wiejski (5)";5557;
1011000;"Powiat poddębicki";39169;
1011012;"Dalików (2)";4035;
1011022;"Pęczniew (2)";3338;
1011033;"Poddębice (3)";14438;
1011034;"Poddębice - miasto (4)";6674;
1011035;"Poddębice - obszar wiejski (5)";7764;
1011043;"Uniejów (3)";6697;
1011044;"Uniejów - miasto (4)";2974;
1011045;"Uniejów - obszar wiejski (5)";3723;
1011052;"Wartkowice (2)";6052;
1011062;"Zadzim (2)";4609;
1012000;"Powiat radomszczański";105623;
1012011;"Radomsko (1)";42412;
1012022;"Dobryszyce (2)";4621;
1012032;"Gidle (2)";5706;
1012042;"Gomunice (2)";5606;
1012053;"Kamieńsk (3)";5510;
1012054;"Kamieńsk - miasto (4)";2598;
1012055;"Kamieńsk - obszar wiejski (5)";2912;
1012062;"Kobiele Wielkie (2)";4194;
1012072;"Kodrąb (2)";4221;
1012082;"Lgota Wielka (2)";4098;
1012092;"Ładzice (2)";4578;
1012102;"Masłowice (2)";3854;
1012113;"Przedbórz (3)";6437;
1012114;"Przedbórz - miasto (4)";3117;
1012115;"Przedbórz - obszar wiejski (5)";3320;
1012122;"Radomsko (2)";5408;
1012132;"Wielgomłyny (2)";4243;
1012142;"Żytno (2)";4735;
1013000;"Powiat rawski";45664;
1013011;"Rawa Mazowiecka (1)";15783;
1013023;"Biała Rawska (3)";10621;
1013024;"Biała Rawska - miasto (4)";2917;
1013025;"Biała Rawska - obszar wiejski (5)";7704;
1013032;"Cielądz (2)";3878;
1013042;"Rawa Mazowiecka (2)";8619;
1013052;"Regnów (2)";1694;
1013062;"Sadkowice (2)";5069;
1014000;"Powiat sieradzki";110665;
1014011;"Sieradz (1)";38299;
1014023;"Błaszki (3)";13822;
1014024;"Błaszki - miasto (4)";1952;
1014025;"Błaszki - obszar wiejski (5)";11870;
1014032;"Brąszewice (2)";4307;
1014042;"Brzeźnio (2)";6153;
1014052;"Burzenin (2)";5216;
1014062;"Goszczanów (2)";4990;
1014072;"Klonowa (2)";2715;
1014082;"Sieradz (2)";10843;
1014093;"Warta (3)";11719;
1014094;"Warta - miasto (4)";2889;
1014095;"Warta - obszar wiejski (5)";8830;
1014102;"Wróblew (2)";5859;
1014113;"Złoczew (3)";6742;
1014114;"Złoczew - miasto (4)";3384;
1014115;"Złoczew - obszar wiejski (5)";3358;
1015000;"Powiat skierniewicki";37670;
1015013;"Bolimów (3)";3838;
1015014;"Bolimów - miasto (4)";894;
1015015;"Bolimów - obszar wiejski (5)";2944;
1015022;"Głuchów (2)";5399;
1015032;"Godzianów (2)";2556;
1015042;"Kowiesy (2)";2757;
1015052;"Lipce Reymontowskie (2)";3059;
1015062;"Maków (2)";5941;
1015072;"Nowy Kawęczyn (2)";3417;
1015082;"Skierniewice (2)";8225;
1015092;"Słupia (2)";2478;
1016000;"Powiat tomaszowski";109588;
1016011;"Tomaszów Mazowiecki (1)";56681;
1016022;"Będków (2)";3123;
1016032;"Budziszewice (2)";2069;
1016042;"Czerniewice (2)";4790;
1016053;"Inowłódz (3)";3637;
1016054;"Inowłódz - miasto (4)";765;
1016055;"Inowłódz - obszar wiejski (5)";2872;
1016062;"Lubochnia (2)";7146;
1016072;"Rokiciny (2)";5984;
1016082;"Rzeczyca (2)";4369;
1016092;"Tomaszów Mazowiecki (2)";11492;
1016103;"Ujazd (3)";7232;
1016104;"Ujazd - miasto (4)";1499;
1016105;"Ujazd - obszar wiejski (5)";5733;
1016112;"Żelechlinek (2)";3065;
1017000;"Powiat wieluński";72013;
1017012;"Biała (2)";5264;
1017022;"Czarnożyły (2)";4373;
1017032;"Konopnica (2)";3514;
1017042;"Mokrsko (2)";5038;
1017053;"Osjaków (3)";4611;
1017054;"Osjaków - miasto (4)";1332;
1017055;"Osjaków - obszar wiejski (5)";3279;
1017062;"Ostrówek (2)";4332;
1017072;"Pątnów (2)";6149;
1017082;"Skomlin (2)";3171;
1017093;"Wieluń (3)";29229;
1017094;"Wieluń - miasto (4)";20141;
1017095;"Wieluń - obszar wiejski (5)";9088;
1017102;"Wierzchlas (2)";6332;
1018000;"Powiat wieruszowski";41295;
1018013;"Bolesławiec (3)";3815;
1018014;"Bolesławiec - miasto (4)";873;
1018015;"Bolesławiec - obszar wiejski (5)";2942;
1018022;"Czastary (2)";3883;
1018032;"Galewice (2)";6123;
1018043;"Lututów (3)";4505;
1018044;"Lututów - miasto (4)";2171;
1018045;"Lututów - obszar wiejski (5)";2334;
1018052;"Łubnice (2)";3830;
1018062;"Sokolniki (2)";5160;
1018073;"Wieruszów (3)";13979;
1018074;"Wieruszów - miasto (4)";8217;
1018075;"Wieruszów - obszar wiejski (5)";5762;
1019000;"Powiat zduńskowolski";62876;
1019011;"Zduńska Wola (1)";37914;
1019023;"Szadek (3)";7015;
1019024;"Szadek - miasto (4)";1750;
1019025;"Szadek - obszar wiejski (5)";5265;
1019032;"Zapolice (2)";5512;
1019042;"Zduńska Wola (2)";12435;
1020000;"Powiat zgierski";165840;
1020011;"Głowno (1)";12956;
1020021;"Ozorków (1)";17902;
1020031;"Zgierz (1)";52938;
1020043;"Aleksandrów Łódzki (3)";35403;
1020044;"Aleksandrów Łódzki - miasto (4)";22023;
1020045;"Aleksandrów Łódzki - obszar wiejski (5)";13380;
1020052;"Głowno (2)";4602;
1020062;"Ozorków (2)";7259;
1020073;"Parzęczew (3)";5305;
1020074;"Parzęczew - miasto (4)";930;
1020075;"Parzęczew - obszar wiejski (5)";4375;
1020083;"Stryków (3)";13004;
1020084;"Stryków - miasto (4)";3329;
1020085;"Stryków - obszar wiejski (5)";9675;
1020092;"Zgierz (2)";16471;
1021000;"Powiat brzeziński";30080;
1021011;"Brzeziny (1)";11852;
1021022;"Brzeziny (2)";6198;
1021032;"Dmosin (2)";4343;
1021043;"Jeżów (3)";3118;
1021044;"Jeżów - miasto (4)";1252;
1021045;"Jeżów - obszar wiejski (5)";1866;
1021052;"Rogów (2)";4569;
1061000;"Powiat m. Łódź";645693;
1061011;"Łódź (1)";645693;
1062000;"Powiat m. Piotrków Trybunalski";66022;
1062011;"Piotrków Trybunalski (1)";66022;
1063000;"Powiat m. Skierniewice";45121;
1063011;"Skierniewice (1)";45121;
